Reacton,Reaction name,Equation,EC Number,GPR,deltaG,Keq,Subsytem
ICL,Isocitrate lyase,[c] icit --> glx succ,4.1.3.1,AceA (b4015) ,4.9,2.5901E-04,Anaplerotic reactions
MALS,malate synthase,[c] accoa glx h2o --> coa h mal-L,4.1.3.2,( AceB (b4014)  ) or ( GlcB (b2976)  ),-8.7,2.3345E+06,Anaplerotic reactions
ME1,malic enzyme (NAD),[c] mal-L nad --> co2 nadh pyr,1.1.1.38,Sfc (b1479) ,1.3,1.1180E-01,Anaplerotic reactions
ME2,malic enzyme (NADP),[c] mal-L nadp --> co2 nadph pyr,1.1.1.40,Mae (b2463) ,1.6,6.7428E-02,Anaplerotic reactions
PPC,phosphoenolpyruvate carboxylase,[c] co2 h2o pep --> h oaa pi,4.1.1.31,Ppc (b3956) ,-6.8,9.4936E+04,Anaplerotic reactions
PPCK,phosphoenolpyruvate carboxykinase,[c] atp oaa --> adp co2 pep,4.1.1.49,Pck (b3403) ,0.2,7.1385E-01,Anaplerotic reactions
ACONTa,aconitase (half-reaction A Citrate hydro-lyase),[c] cit <==> acon-C h2o,4.2.1.3,( AcnB (b0118)  ) or ( AcnA (b1276)  ),1.5,7.98E-02,Citric Acid Cycle
ACONTb,aconitase (half-reaction B Isocitrate hydro-lyase),[c] acon-C h2o <==> icit,4.2.1.3,( AcnB (b0118)  ) or ( AcnA (b1276)  ),-0.2,1.40E+00,Citric Acid Cycle
AKGDH,2-Oxogluterate dehydrogenase,[c] akg coa nad --> co2 nadh succoa,,( LpdA (b0116)  and SucAec (b0726)  and SucBec (b0727)  ),-8.3,1.1896E+06,Citric Acid Cycle
CS,citrate synthase,[c] accoa h2o oaa --> cit coa h,,GltA (b0720) ,-8.6,1.9724E+06,Citric Acid Cycle
FUM,fumarase,[c] fum h2o <==> mal-L,4.2.1.2,( FumA (b1612)  ) or ( FumB (b4122)  ) or ( FumCec (b1611)  ),-0.6,2.7491E+00,Citric Acid Cycle
ICDHyr,isocitrate dehydrogenase (NADP),[c] icit nadp <==> akg co2 nadph,1.1.1.42,Icd (b1136) ,3.4,3.2455E-03,Citric Acid Cycle
MDH,malate dehydrogenase,[c] mal-L nad <==> h nadh oaa,1.1.1.37,Mdh (b3236) ,6.4,2.0671E-05,Citric Acid Cycle
SUCOAS,succinyl-CoA synthetase (ADP-forming),[c] atp coa succ <==> adp pi succoa,6.2.1.5,SucCD ( b0728 and b0729 ) ,-1.0,5.3948E+00,Citric Acid Cycle
EX_ac(e),Acetate exchange,[e] ac <==>,,,,,Exchange
EX_acald(e),Acetaldehyde exchange,[e] acald <==>,,,,,Exchange
EX_akg(e),2-Oxoglutarate exchange,[e] akg <==>,,,,,Exchange
EX_co2(e),CO2 exchange,[e] co2 <==>,,,,,Exchange
EX_etoh(e),Ethanol exchange,[e] etoh <==>,,,,,Exchange
EX_for(e),Formate exchange,[e] for <==>,,,,,Exchange
EX_fru(e),D-Fructose exchange,[e] fru <==>,,,,,Exchange
EX_fum(e),Fumarate exchange,[e] fum <==>,,,,,Exchange
EX_glc(e),D-Glucose exchange,[e] glc-D <==>,,,,,Exchange
EX_gln_L(e),L-Glutamine exchange,[e] gln-L <==>,,,,,Exchange
EX_glu_L(e),L-Glutamate exchange,[e] glu-L <==>,,,,,Exchange
EX_h(e),H+ exchange,[e] h <==>,,,,,Exchange
EX_h2o(e),H2O exchange,[e] h2o <==>,,,,,Exchange
EX_lac_D(e),D-Lactate exchange,[e] lac-D <==>,,,,,Exchange
EX_mal_L(e),L-Malate exchange,[e] mal-L <==>,,,,,Exchange
EX_nh4(e),Ammonium exchange,[e] nh4 <==>,,,,,Exchange
EX_o2(e),O2 exchange,[e] o2 <==>,,,,,Exchange
EX_pi(e),Phosphate exchange,[e] pi <==>,,,,,Exchange
EX_pyr(e),Pyruvate exchange,[e] pyr <==>,,,,,Exchange
EX_succ(e),Succinate exchange,[e] succ <==>,,,,,Exchange
GLNS,glutamine synthetase,[c] atp glu-L nh4 --> adp gln-L h pi,6.3.1.2,( GlnA (b3870)  ) or ( YcjK (b1297)  ),-1.7,1.7553E+01,Glutamate Metabolism
GLUDy,glutamate dehydrogenase (NADP),[c] glu-L h2o nadp <==> akg h nadph nh4,1.4.1.4,GdhA (b1761) ,9.3,1.5582E-07,Glutamate Metabolism
GLUN,glutaminase,[c] gln-L h2o --> glu-L nh4,3.5.1.2,( PabBec (b1812)  ) or ( YbaS (b0485)  ) or ( YneH (b1524)  ),-4.9,3.8608E+03,Glutamate Metabolism
GLUSy,glutamate synthase (NADPH),[c] akg gln-L h nadph --> (2)glu-L nadp,1.4.1.13,GltB ( b3212 and b3213 ) ,-14.2,2.4777E+10,Glutamate Metabolism
ENO,enolase,[c] 2pg <==> h2o pep,4.2.1.11,Eno (b2779) ,-0.9,4.5580E+00,Glycolysis/Gluconeogenesis
FBA,fructose-bisphosphate aldolase,[c] fdp <==> dhap g3p,4.1.2.13,( FbaB (b2097)  ) or ( B1773 (b1773)  ) or ( FbaA (b2925)  ),4.2,8.4276E-04,Glycolysis/Gluconeogenesis
FBP,fructose-bisphosphatase,[c] fdp h2o --> f6p pi,3.1.3.11,( GlpX (b3925)  ) or ( Fbp (b4232)  ),-2.8,1.1208E+02,Glycolysis/Gluconeogenesis
GAPD,glyceraldehyde-3-phosphate dehydrogenase,[c] g3p nad pi <==> 13dpg h nadh,1.2.1.12,GapA (b1779) ,-0.1,1.1836E+00,Glycolysis/Gluconeogenesis
PDH,pyruvate dehydrogenase,[c] coa nad pyr --> accoa co2 nadh,,( AceEec (b0114)  and AceFec (b0115)  and LpdA (b0116)  ),-8.3,1.1896E+06,Glycolysis/Gluconeogenesis
PFK,phosphofructokinase,[c] atp f6p --> adp fdp h,2.7.1.11,( PfkA (b3916)  ) or ( PfkB (b1723)  ),-3.8,6.0465E+02,Glycolysis/Gluconeogenesis
PGI,glucose-6-phosphate isomerase,[c] g6p <==> f6p,5.3.1.9,Pgi (b4025) ,-0.8,3.8511E+00,Glycolysis/Gluconeogenesis
PGK,phosphoglycerate kinase,[c] 3pg atp <==> 13dpg adp,2.7.2.3,Pgk (b2926) ,2.8,8.9221E-03,Glycolysis/Gluconeogenesis
