ACALD,Pyruvate Metabolism
ACALDtpp,Extracellular Transport
ACKr,Pyruvate Metabolism
ACONTa,Citric Acid Cycle
ACONTb,Citric Acid Cycle
ACt2rpp,Extracellular Transport
ADK1,Oxidative Phosphorylation
AKGDH,Citric Acid Cycle
AKGt2rpp,Extracellular Transport
ALCD2x,Pyruvate Metabolism
ATPM,Oxidative Phosphorylation
ATPS4rpp,Oxidative Phosphorylation
CO2tpp,Extracellular Transport
CS,Citric Acid Cycle
CYTBDpp,Oxidative Phosphorylation
D__LACt2pp,Extracellular Transport
ENO,Glycolysis/Gluconeogenesis
ETOHtrpp,Extracellular Transport
EX_ac_e,Exchange
EX_acald_e,Exchange
EX_akg_e,Exchange
EX_co2_e,Exchange
EX_etoh_e,Exchange
EX_for_e,Exchange
EX_fru_e,Exchange
EX_fum_e,Exchange
EX_glc_e,Exchange
EX_gln__L_e,Exchange
EX_glu__L_e,Exchange
EX_h_e,Exchange
EX_h2o_e,Exchange
EX_lac__D_e,Exchange
EX_mal__L_e,Exchange
EX_nh4_e,Exchange
EX_o2_e,Exchange
EX_pi_e,Exchange
EX_pyr_e,Exchange
EX_succ_e,Exchange
FBA,Glycolysis/Gluconeogenesis
FBP,Glycolysis/Gluconeogenesis
FORt2pp,Extracellular Transport
FORtppi,Extracellular Transport
FRD2,Oxidative Phosphorylation
FRUpts2pp,Extracellular Transport
FUM,Citric Acid Cycle
FUMt2_2pp,Extracellular Transport
G6PDH2r,Pentose Phosphate Pathway
GAPD,Glycolysis/Gluconeogenesis
GLCptspp,Extracellular Transport
GLNabcpp,Extracellular Transport
GLNS,Glutamate Metabolism
GLUDy,Glutamate Metabolism
GLUN,Glutamate Metabolism
GLUSy,Glutamate Metabolism
GLUt2rpp,Extracellular Transport
GND,Pentose Phosphate Pathway
H2Otpp,Extracellular Transport
ICDHyr,Citric Acid Cycle
ICL,Anaplerotic reactions
LDH_D,Pyruvate Metabolism
MALS,Anaplerotic reactions
MALt2_2pp,Extracellular Transport
MDH,Citric Acid Cycle
ME1,Anaplerotic reactions
ME2,Anaplerotic reactions
NADH16pp,Oxidative Phosphorylation
NADTRHD,Oxidative Phosphorylation
NH4tpp,Inorganic Ion Transport and Metabolism
O2tpp,Extracellular Transport
PDH,Glycolysis/Gluconeogenesis
PFK,Glycolysis/Gluconeogenesis
PFL,Pyruvate Metabolism
PGI,Glycolysis/Gluconeogenesis
PGK,Glycolysis/Gluconeogenesis
PGL,Pentose Phosphate Pathway
PGM,Glycolysis/Gluconeogenesis
PIt2rpp,Inorganic Ion Transport and Metabolism
PPC,Anaplerotic reactions
PPCK,Anaplerotic reactions
PPS,Glycolysis/Gluconeogenesis
PTAr,Pyruvate Metabolism
PYK,Glycolysis/Gluconeogenesis
PYRt2rpp,Extracellular Transport
Reaction,Subsytem
RPE,Pentose Phosphate Pathway
RPI,Pentose Phosphate Pathway
SUCCt2_2pp,Extracellular Transport
SUCCt3pp,Extracellular Transport
SUCDi,Oxidative Phosphorylation
SUCOAS,Citric Acid Cycle
TALA,Pentose Phosphate Pathway
THD2pp,Oxidative Phosphorylation
TKT1,Pentose Phosphate Pathway
TKT2,Pentose Phosphate Pathway
TPI,Glycolysis/Gluconeogenesis
